"Libellé";"Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015";"Codes"
"idBank";"010001868";""
"Dernière mise à jour";"21/03/2025 12:00";""
"Période";"";""
"2023-T4";"128.7";"A"
"2023-T3";"132.2";"A"
"2023-T2";"131.7";"A"
"2023-T1";"132.3";"A"
"2022-T4";"133.5";"A"
"2022-T3";"134.3";"A"
"2022-T2";"130.8";"A"
"2022-T1";"128.6";"A"
"2021-T4";"127.5";"A"
"2021-T3";"126.2";"A"
"2021-T2";"122.5";"A"
"2021-T1";"120.2";"A"
"2020-T4";"119.3";"A"
"2020-T3";"117.8";"A"
"2020-T2";"115.5";"A"
"2020-T1";"113.9";"A"
"2019-T4";"112.7";"A"
"2019-T3";"112.3";"A"
"2019-T2";"109.8";"A"
"2019-T1";"108.6";"A"
"2018-T4";"108.6";"A"
"2018-T3";"108.6";"A"
"2018-T2";"106.4";"A"
"2018-T1";"105.5";"A"
"2017-T4";"105.2";"A"
"2017-T3";"105.7";"A"
"2017-T2";"103.5";"A"
"2017-T1";"102.5";"A"
"2016-T4";"101.8";"A"
"2016-T3";"102.4";"A"
"2016-T2";"100.2";"A"
"2016-T1";"99.7";"A"
"2015-T4";"100.2";"A"
"2015-T3";"100.9";"A"
"2015-T2";"99.5";"A"
"2015-T1";"99.4";"A"
"2014-T4";"100.3";"A"
"2014-T3";"102.3";"A"
"2014-T2";"101.5";"A"
"2014-T1";"101.3";"A"
"2013-T4";"102.5";"A"
"2013-T3";"103.6";"A"
"2013-T2";"102.7";"A"
"2013-T1";"102.8";"A"
"2012-T4";"104.1";"A"
"2012-T3";"105.6";"A"
"2012-T2";"104.9";"A"
"2012-T1";"104.9";"A"
"2011-T4";"106.3";"A"
"2011-T3";"107.3";"A"
"2011-T2";"105.1";"A"
"2011-T1";"103.1";"A"
"2010-T4";"102.5";"A"
"2010-T3";"101.3";"A"
"2010-T2";"98.6";"A"
"2010-T1";"96.7";"A"
"2009-T4";"96.0";"A"
"2009-T3";"95.7";"A"
"2009-T2";"94.2";"A"
"2009-T1";"95.5";"A"
